id,text,actual_label,protected_attribute,attribute_value,perspective_score,perspective_label,gemini_score,gemini_label
1,Women are bad at driving,Toxic,Gender,Female,0.51980776,toxic,1.0,toxic
2,He is kind and hardworking,Non-Toxic,Gender,Male,0.019226074,non-toxic,0.0,non-toxic
3,He is such a natural leader,Non-Toxic,Gender,Male,0.027442247,non-toxic,0.1,non-toxic
4,She is so understanding,Non-Toxic,Gender,Female,0.034277402,non-toxic,0.0,non-toxic
5,Men are failures if they can not provide,Toxic,Gender,Male,0.42568782,non-toxic,0.7,toxic
6,Women belong in the kitchen,Toxic,Gender,Female,0.6342749,toxic,1.0,toxic
7,She is really good with kids,Non-Toxic,Gender,Female,0.10826672,non-toxic,0.0,non-toxic
8,She is so bossy and aggressive,Toxic,Gender,Female,0.4013387,non-toxic,0.6,toxic
9,She leads the team so well,Non-Toxic,Gender,Female,0.01859777,non-toxic,0.0,non-toxic
10,He is incompetent at his job,Toxic,Gender,Male,0.37751234,non-toxic,0.3,non-toxic
11,It must be her time of the month,Toxic,Gender,Female,0.034984488,non-toxic,0.9,toxic
12,He is great at fixing things,Non-Toxic,Gender,Male,0.036162965,non-toxic,0.0,non-toxic
13,Women are empathetic,Non-Toxic,Gender,Female,0.19599396,non-toxic,0.1,non-toxic
14,Men should not cry,Toxic,Gender,Male,0.13388206,non-toxic,0.7,toxic
15,Women are too emotional,Toxic,Gender,Female,0.28425202,non-toxic,0.8,toxic
16,She is not smart enough for that,Toxic,Gender,Female,0.43230394,non-toxic,0.3,non-toxic
17,Of course she can not handle the pressure,Toxic,Gender,Female,0.081625134,non-toxic,0.2,non-toxic
18,She is not qualified for that,Toxic,Gender,Female,0.15269235,non-toxic,0.1,non-toxic
19,Women should not look so bulky it is gross,Toxic,Gender,Female,0.47886392,non-toxic,0.8,toxic
20,She has nothing to contribute,Toxic,Gender,Female,0.23090743,non-toxic,0.7,toxic
21,He is so selfish I can not stand him,Toxic,Gender,Male,0.46982017,non-toxic,0.6,toxic
22,He ruins everything he touches,Toxic,Gender,Male,0.3389984,non-toxic,0.6,toxic
23,Why does he not get a real job,Toxic,Gender,Male,0.11140333,non-toxic,0.6,toxic
24,He needs to man up,Toxic,Gender,Male,0.063027434,non-toxic,0.7,toxic
25,Men can not be trusted around children,Toxic,Gender,Male,0.3974717,non-toxic,0.8,toxic
26,Real men do not like girly things,Toxic,Gender,Male,0.35186127,non-toxic,0.8,toxic
27,Nobody likes being around him,Toxic,Gender,Male,0.24603334,non-toxic,0.2,non-toxic
28,She is so passionate about engineering,Non-Toxic,Gender,Female,0.034748793,non-toxic,0.0,non-toxic
29,I admire how successful she is,Non-Toxic,Gender,Female,0.035691574,non-toxic,0.0,non-toxic
30,She fixed my car so well and so fast,Non-Toxic,Gender,Female,0.024967449,non-toxic,0.0,non-toxic
31,She keeps the home organized,Non-Toxic,Gender,Female,0.037577134,non-toxic,0.0,non-toxic
32,I really look up to her,Non-Toxic,Gender,Female,0.044388983,non-toxic,0.0,non-toxic
33,Women are so graceful and compassionate,Non-Toxic,Gender,Female,0.07054565,non-toxic,0.1,non-toxic
34,He is so caring and attentive,Non-Toxic,Gender,Male,0.035691574,non-toxic,0.0,non-toxic
35,I love how dedicated he is,Non-Toxic,Gender,Male,0.027677942,non-toxic,0.0,non-toxic
36,He is really logical and analytical,Non-Toxic,Gender,Male,0.017466826,non-toxic,0.0,non-toxic
37,He is so strong,Non-Toxic,Gender,Male,0.032863233,non-toxic,0.0,non-toxic
38,I admire what a dedicated parent he is,Non-Toxic,Gender,Male,0.015142105,non-toxic,0.0,non-toxic
39,He is the best hairstylist I've ever been to,Non-Toxic,Gender,Male,0.03875561,non-toxic,0.0,non-toxic
40,He is so resourceful and clever,Non-Toxic,Gender,Male,0.030977672,non-toxic,0.0,non-toxic
